playerId,name,proTeam,position,proj_points
3929645,Juwan Johnson,NO,TE,92.13
-16001,Falcons D/ST,ATL,D/ST,77.09
-16013,Raiders D/ST,LV,D/ST,61.77
4569923,Andy Borregales,NE,K,103.23
3915411,Ty Johnson,BUF,RB,47.88
4430871,Sean Tucker,TB,RB,26.4
3121409,Noah Brown,WSH,WR,83.62
3128390,Allen Lazard,NYJ,WR,59.84
12460,Graham Gano,NYG,K,98.51
4429299,Tahj Brooks,CIN,RB,18.49
4259619,Blake Grupe,NO,K,100.85
4710341,Jarquez Hunter,LAR,RB,30.71
3120348,JuJu Smith-Schuster,KC,WR,35.86
5083076,Harold Fannin Jr.,CLE,TE,41.96
4360689,Tyler Shough,NO,QB,102.77
4428718,Tre Tucker,LV,WR,54.62
3930086,Dawson Knox,BUF,TE,38.9
4363538,Chad Ryland,ARI,K,102.6
4808839,Isaiah Bond,CLE,WR,23.52
4240472,Noah Gray,KC,TE,55.75
4382466,Jalen Nailor,MIN,WR,20.03
4682652,Devin Neal,NO,RB,48.25
4036131,Noah Fant,CIN,TE,67.33
4569603,Malik Washington,MIA,WR,45.78
16002,Kyle Juszczyk,SF,RB,21.25
4596602,Brashard Smith,KC,RB,18.34
4568263,Ryan Fitzgerald,CAR,K,101.18
3135321,Hunter Renfrow,CAR,WR,37.48
-16010,Titans D/ST,TEN,D/ST,80.8
4570037,Terrance Ferguson,LAR,TE,39.59
14880,Kirk Cousins,ATL,QB,2.56
4249417,Jalen Tolbert,DAL,WR,65.99
4040761,Devin Singletary,NYG,RB,15.66
4432734,Jalen Milroe,SEA,QB,5.31
4361409,Jahan Dotson,PHI,WR,21.24
-16018,Saints D/ST,NO,D/ST,65.39
4722893,Jaleel McLaughlin,DEN,RB,18.55
4361777,Zamir White,LV,RB,18.61
4239934,AJ Dillon,PHI,RB,11.13
4373684,Scott Matlock,LAC,DT,2.99
-16029,Panthers D/ST,CAR,D/ST,54.66
4887558,Emanuel Wilson,GB,RB,29.44
4429086,Michael Mayer,LV,TE,57.59
4586312,Jaylin Noel,HOU,WR,28.12
4426948,Luke McCaffrey,WSH,WR,22.38
3930066,Van Jefferson,TEN,WR,51.51
4429022,Kayshon Boutte,NE,WR,56.23
4690070,Mitchell Tinsley,CIN,WR,4.45
4360294,Antonio Gibson,NE,RB,7.96
4569559,Devaughn Vele,NO,WR,54.72
3124084,Joey Slye,TEN,K,99.19
4428085,Luke Musgrave,GB,TE,27.12
4430870,KeAndre Lambert-Smith,LAC,WR,3.83
4427238,Dillon Gabriel,CLE,QB,71.72
4576297,AJ Barner,SEA,TE,64.99
5082630,Jalen Royals,KC,WR,7.74
4708486,Jimmy Horn Jr.,CAR,WR,9.09
3917914,Olamide Zaccheaus,CHI,WR,29.55
4695404,Isaiah Davis,NYJ,RB,24.59
4690923,Ben Sinnott,WSH,TE,37.35
3149687,Chris Brooks,GB,RB,21.94
4569382,Jordan Whittington,LAR,WR,48.56
4372414,Elijah Moore,BUF,WR,24.28
4608810,Tez Johnson,TB,WR,12.34
3127292,Will Dissly,LAC,TE,57.57
4362478,Emari Demercado,ARI,RB,22.87
3915486,Tyler Conklin,LAC,TE,32.39
4602667,Jaylin Lane,WSH,WR,18.94
4037235,Greg Dortch,ARI,WR,48.7
4686728,Gunnar Helm,TEN,TE,50.64
4428850,Dontayvion Wicks,GB,WR,17.25
2983509,Dare Ogunbowale,HOU,RB,12.76
4428678,Jamari Thrash,CLE,WR,47.15
4240703,Kenny Pickett,LV,QB,2.35
4567096,John Metchie III,PHI,WR,6.04
4430802,Darnell Washington,PIT,TE,10.72
4212909,David Moore,CAR,WR,41.09
4360698,Joe Milton III,DAL,QB,2.74
4258620,Andre Szmyt,CLE,K,94.75
4360405,Jake Bobo,SEA,WR,27.29
4242431,Ty Chandler,MIN,RB,7.65
16760,Jimmy Garoppolo,LAR,QB,2.87
4367567,Julius Chestnut,TEN,RB,9.13
4595342,Oronde Gadsden II,LAC,TE,45.58
3043116,Demarcus Robinson,SF,WR,21.6
4429121,Kalel Mullings,TEN,RB,24.48
3043275,Austin Hooper,NE,TE,47.62
3121427,Curtis Samuel,BUF,WR,38.07
3917668,Alec Ingold,MIA,RB,17.85
4685397,Jordan James,SF,RB,2.73
4692590,Jalin Hyatt,NYG,WR,6.64
4430191,Skyy Moore,SF,WR,7.56
3134353,Tim Patrick,JAX,WR,15.03
4362921,Tyquan Thornton,KC,WR,17.54
4362477,Derius Davis,LAC,WR,18.1
4431487,Savion Williams,GB,WR,17.72
3116407,Mason Rudolph,PIT,QB,2.31
4429033,Jermaine Burton,CIN,WR,42.34
2991662,Mack Hollins,NE,WR,22.74
4038524,Gardner Minshew,KC,QB,2.84
4426496,Cade Stover,HOU,TE,30.0
3921690,Josh Oliver,MIN,TE,26.01
4434153,Tyson Bagent,CHI,QB,2.63
4383396,Hunter Luepke,DAL,RB,10.06
2973405,Kalif Raymond,DET,WR,22.86
4372096,Luke Schoonmaker,DAL,TE,22.97
4432620,Parker Washington,JAX,WR,35.72
2976592,Sterling Shepard,TB,WR,22.38
4241374,Grant Calcaterra,PHI,TE,15.73
4565185,Tai Felton,MIN,WR,9.75
3123075,Braxton Berrios,HOU,WR,1.9
4421446,Craig Reynolds,DET,RB,6.88
2573079,Carson Wentz,MIN,QB,2.84
4242512,Malik Willis,GB,QB,2.53
4242392,Brock Wright,DET,TE,7.94
4690143,LaJohntay Wester,BAL,WR,0.44
3886812,Jake Browning,CIN,QB,3.06
4685201,Tanner McKee,PHI,QB,2.24
4372716,Nikko Remigio,KC,WR,2.93
4372780,Tommy Tremble,CAR,TE,41.44
4429676,Tyler Goodson,IND,RB,9.72
3044720,Joshua Dobbs,NE,QB,2.32
4431268,Chimere Dike,TEN,WR,31.13
3911853,Adam Trautman,DEN,TE,28.21
4365395,Julian Hill,MIA,TE,28.35
4426844,Elijah Higgins,ARI,TE,28.24
2576980,Marcus Mariota,WSH,QB,2.84
4361259,Zach Wilson,MIA,QB,2.55
4431466,Jordan Watkins,SF,WR,13.3
